model,rep,seed,n_samples,n_classes,accuracy,cross_entropy_bits,empirical_entropy_bits,mutual_info_lower_bound_bits,macro_f1
anthropic/claude-haiku-4.5,code,0,200,32,0.7857142857142857,2.247358341734256,4.351823225551767,2.104464883817511,0.6811594202898551
anthropic/claude-haiku-4.5,nl,0,200,32,0.21428571428571427,3.422020670266011,4.351823225551767,0.9298025552857561,0.11868686868686869
openai/gpt-4o-mini,code,0,200,39,0.7037037037037037,2.9662966655442915,4.2824842613426,1.3161875957983087,0.56
openai/gpt-4o-mini,nl,0,200,39,0.2222222222222222,3.8551602038603763,4.2824842613426,0.4273240574822239,0.09375
meta-llama/llama-3.1-405b-instruct,code,0,200,34,0.4782608695652174,3.0075758597591626,3.9690016298759927,0.9614257701168301,0.34782608695652173
meta-llama/llama-3.1-405b-instruct,nl,0,200,34,0.08695652173913043,3.7479695057050124,3.9690016298759927,0.22103212417098028,0.03333333333333333
openai/gpt-4o-mini,code,1,200,38,0.6296296296296297,3.113469792787046,4.254525464966175,1.141055672179129,0.4487179487179487
openai/gpt-4o-mini,nl,1,200,38,0.1111111111111111,3.9739406171707485,4.254525464966175,0.2805848477954265,0.07200000000000001
google/gemini-2.5-flash,code,1,200,41,0.5555555555555556,3.2622995148956866,4.3104430577190245,1.0481435428233379,0.42898550724637685
google/gemini-2.5-flash,nl,1,200,41,0.14814814814814814,4.198544935815139,4.3104430577190245,0.11189812190388526,0.07936507936507936
meta-llama/llama-3.1-405b-instruct,code,1,200,42,0.5357142857142857,3.3337298398345423,4.378783493486177,1.0450536536516344,0.4705128205128205
meta-llama/llama-3.1-405b-instruct,nl,1,200,42,0.17857142857142858,4.045716005627215,4.378783493486177,0.3330674878589619,0.07619047619047618
qwen/qwen-2.5-coder-32b-instruct,code,1,200,33,0.48,3.0653713891876615,4.0536606896881855,0.988289300500524,0.38095238095238093
qwen/qwen-2.5-coder-32b-instruct,nl,1,200,33,0.2,3.7960015472387614,4.0536606896881855,0.2576591424494241,0.14777777777777776
mistralai/ministral-14b-2512,code,1,200,36,0.6785714285714286,2.6821728538779297,4.2359263506290326,1.5537534967511029,0.4861111111111111
mistralai/ministral-14b-2512,nl,1,200,36,0.2857142857142857,3.6968083032583867,4.2359263506290326,0.5391180473706458,0.09668109668109669
google/gemini-2.5-flash,code,2,200,39,0.42857142857142855,3.262601130152673,4.1550455468258045,0.8924444166731313,0.38690476190476186
google/gemini-2.5-flash,nl,2,200,39,0.07142857142857142,3.992647715629852,4.1550455468258045,0.1623978311959524,0.03968253968253968
meta-llama/llama-3.1-405b-instruct,code,2,200,34,0.5862068965517241,2.863838935230245,4.142295219190901,1.2784562839606557,0.4984848484848484
meta-llama/llama-3.1-405b-instruct,nl,2,200,34,0.20689655172413793,3.855662177880429,4.142295219190901,0.2866330413104716,0.07204968944099378
qwen/qwen-2.5-coder-32b-instruct,code,2,200,38,0.5862068965517241,2.9552714170203696,4.021268494903765,1.0659970778833956,0.38744588744588737
qwen/qwen-2.5-coder-32b-instruct,nl,2,200,38,0.1724137931034483,4.077574733623761,4.021268494903765,-0.05630623871999596,0.03925619834710744
mistralai/ministral-14b-2512,code,2,200,36,0.46153846153846156,3.073428039483141,4.132944044980959,1.0595160054978177,0.33203463203463207
mistralai/ministral-14b-2512,nl,2,200,36,0.23076923076923078,3.735463218994917,4.132944044980959,0.3974808259860416,0.07989417989417989
