idx,problem,digits,kind,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec
0,Compute: 13 * 77,2,mul,1001,1001,1,1001,1,,0
1,Compute: 47 * 25,2,mul,1175,1175,1,1175,1,,0
2,Compute: 70 - 93,2,sub,-23,-23,1,-23,1,,0
3,Compute: 81 - 92,2,sub,-11,-11,1,-11,1,,0
4,Compute: 36 - 22,2,sub,14,14,1,14,1,,0
5,Compute: 87 - 10,2,sub,77,77,1,77,1,,0
6,Compute: 25 - 73,2,sub,-48,-48,1,-48,1,,0
7,Compute: 37 * 64,2,mul,2368,2368,1,2368,1,,0
8,Compute: 82 + 18,2,add,100,100,1,100,1,,0
9,Compute: 96 + 38,2,add,134,134,1,134,1,,0
10,Compute: 50 + 13,2,add,63,63,1,63,1,,0
11,Compute: 39 * 85,2,mul,3315,3315,1,3315,1,,0
12,Compute: 13 + 93,2,add,106,106,1,106,1,,0
13,Compute: 39 * 54,2,mul,2106,2106,1,2106,1,,0
14,Compute: 13 - 59,2,sub,-46,-46,1,-46,1,,0
15,Compute: 67 * 44,2,mul,2948,2948,1,2948,1,,0
16,Compute: 33 + 90,2,add,123,123,1,123,1,,0
17,Compute: 66 + 73,2,add,139,139,1,139,1,,0
18,Compute: 47 - 12,2,sub,35,35,1,35,1,,0
19,Compute: 11 * 58,2,mul,638,638,1,638,1,,0
